nct_id,overall_status,start_date,completion_date,condition,Study design info,eligibility,has_expanded_access,enrollment
NCT04467840,Recruiting,"August 21, 2020",February 2021,"COVID-19,Lung Infection","Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:80 Years",No,270
NCT04537650,Not yet recruiting,"September 1, 2020","December 31, 2021",Covid19,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,75
NCT04371965,Recruiting,"September 1, 2020","December 1, 2020",COVID-19,"Randomized,Parallel Assignment,Randomized controlled open label trial, parallel design,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,24
NCT04371510,Recruiting,"April 22, 2020","February 22, 2021",COVID-19 by SARS-CoV-2 Infection,"N/A,Single Group Assignment,PredictCOVID-D study. Covid-19 chronic haemodialysis patients with moderate symptoms,Other,None (Open Label)","gender:All,Min Age:18 Years,Max Age:85 Years",No,115
NCT04560530,Completed,"March 1, 2020","September 1, 2020",Covid19,"Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,76
NCT04433754,Completed,"March 1, 2020","June 12, 2020",Pancreatitis,"Case-Control,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,500
NCT04388618,Recruiting,"June 15, 2020","December 31, 2020","Anosmia,Ageusia,Covid19,Corona Virus Infection","Case-Control,Prospective","sampling_method:Probability Sample,gender:All,Min Age:12 Years,Max Age:65 Years",No,250
NCT04421664,Terminated,"March 25, 2020","August 17, 2020","Corona Virus Infection,SARS-CoV Infection,Coronavirus","Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,70
NCT04370834,Suspended,"May 28, 2020","April 1, 2022","Hematopoietic and Lymphoid Cell Neoplasm,Malignant Solid Neoplasm,Pneumonia,Pneumonitis,Severe Acute Respiratory Distress Syndrome,Symptomatic COVID-19 Infection Laboratory-Confirmed","N/A,Single Group Assignment,Other,None (Open Label)","gender:All,Min Age:2 Years,Max Age:N/A",N/A,217
NCT04274322,"Active, not recruiting","February 19, 2020",July 2020,"Critically Ill,Coronavirus Infections","Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,117
NCT04361526,Recruiting,"April 17, 2020",July 2020,"Coronavirus Infection,Acute Respiratory Distress Syndrome,COVID","Randomized,Parallel Assignment,This is a two-branch randomized, controlled, uni-center study. Eligible patients will be randomly assigned in a 1:1 ratio to receive cytokine filtration plus standard intensive care, or standard intensive care alone,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,40
NCT04363671,Not yet recruiting,May 2020,December 2020,"Remote Consultation,Covid-19","Other,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:11 Years,Max Age:N/A",No,30
NCT04422561,Completed,"May 31, 2020","July 27, 2020",COVID,"Randomized,Sequential Assignment,Prevention,None (Open Label)","gender:All,Min Age:16 Years,Max Age:70 Years",No,340
NCT04385849,Not yet recruiting,"June 1, 2020","July 11, 2020",COVID-19,"Randomized,Parallel Assignment,Treatment,Triple (Participant, Care Provider, Investigator)","gender:All,Min Age:18 Years,Max Age:N/A",No,30
NCT04479150,Recruiting,"March 1, 2020","August 31, 2020","Covid19,Surgery--Complications","Cohort,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,3000
NCT04366882,Recruiting,"April 14, 2020",December 2020,COVID-19,"N/A,Single Group Assignment,Health Services Research,None (Open Label)","gender:All,Min Age:N/A,Max Age:N/A",No,45
NCT04355481,Recruiting,"April 17, 2020","December 17, 2020","Covid-19,Viral Infection","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,150
NCT04526769,Not yet recruiting,September 2020,April 2021,"COVID,COVID-19,Corona Virus Infection,SARS-CoV-2","Case-Only,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,30
NCT04329507,Recruiting,"March 25, 2020","March 25, 2021","COVID-19,Respiratory Disease","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04488510,"Active, not recruiting","May 6, 2020","November 30, 2020","Covid19,Ventilator Associated Pneumonia,Nosocomial Pneumonia","Other,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,150
NCT04449731,Recruiting,"March 20, 2020","June 30, 2021",COVID-19,"Ecologic or Community,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,30000
NCT04320615,Completed,"April 3, 2020","July 28, 2020",COVID-19 Pneumonia,"Randomized,Parallel Assignment,Treatment,Double (Participant, Investigator)","gender:All,Min Age:18 Years,Max Age:N/A",No,450
NCT04557046,Recruiting,"June 26, 2020","December 31, 2020",Covid19,"Non-Randomized,Parallel Assignment,Subject are asked to provide nasal swab or nasopharyngeal swab and saliva samples,Diagnostic,None (Open Label)","gender:All,Min Age:N/A,Max Age:N/A",No,400
NCT04332107,Recruiting,"May 22, 2020","September 30, 2021","COVID-19,SARS-CoV-2","Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,2271
NCT04331509,Recruiting,"March 23, 2020","March 23, 2022",COVID-19,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,10000000
NCT04350073,Recruiting,"April 20, 2020","December 1, 2020",COVID-19,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,120
NCT04324073,"Active, not recruiting","March 27, 2020","December 31, 2021",Corona Virus Infection,"Randomized,Parallel Assignment,Bayesian open labelled randomized clinical trial,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,239
NCT04346342,Completed,"March 6, 2020","September 1, 2020","COVID,Mechanical Ventilation,Acute Respiratory Failure","Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,1122
NCT04410718,Recruiting,"April 20, 2020","November 30, 2020","Diabetes Mellitus,Diabetes Mellitus, Type 2,Diabetes Mellitus, Type 1,COVID","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,100
NCT04402944,Not yet recruiting,"June 18, 2020","December 31, 2021",COVID,"Randomized,Parallel Assignment,Treatment,Double (Participant, Investigator)","gender:All,Min Age:3 Years,Max Age:N/A",No,60
NCT04344834,Not yet recruiting,May 2020,October 2020,Mental Health Issue,"Ecologic or Community,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,300
NCT04364815,Not yet recruiting,May 2020,May 2021,COVID-19,"Randomized,Parallel Assignment,Randomized, assessor- and patient- blinded, placebo controlled, parallel group trial,Prevention,Double (Participant, Outcomes Assessor),Randomized allocation concealment
Computer-generated random numbers for two groups will be used by a third party to create an allocation list for participants
The pharmacist will prepare the test medication in sequentially numbered packages
The third party will be contacted upon enrollment of a participant for the assigned group
Blinding
Placebo tablets will have the same appearance as the HCQ tablets
The pharmacist will prepare the test medications in sequentially numbered packages
Blinding of the outcome assessor will be achieved by using numerical codes on the Case Record Form of each patient with no indication of the group assignment on the Case Record Forms
Laboratory specimens, ECG strip, and RT-PCR test specimens will be labeled with the numerical code of the participant and test number","gender:All,Min Age:18 Years,Max Age:59 Years",No,960
NCT04528927,Withdrawn,"May 15, 2020","July 15, 2020","COVID 19,Patients Hospitalized","Randomized,Parallel Assignment,Parallel assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:80 Years",No,0
NCT04495764,"Active, not recruiting","July 20, 2020",March 2021,"SARS-CoV-2 Infection,Anti-SARS-CoV-2 Infection","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:80 Years",No,2504
NCT04394169,Recruiting,"May 25, 2020","March 25, 2021","Post ICU Syndrome,Chronic Pain,Covid-19","Randomized,Parallel Assignment,Randomized, controlled, single-blind, and single-center clinical trial that will include patients who have been admitted to intensive care of our hospital due to COVID-19 disease.,Prevention,Single (Investigator),Visits 1,2, and 3 will be carried out by an investigator with sufficient training in questionnaires. This investigator will not participate on the intervention or the evaluation of the results.
The intervention will be performed by two researchers (Pain Physician and psychologist). This researcher will not participate in the questionnaire and basal data collection visits or results analysis.
Researchers who analyze the results will not participate in the questionnaire and basal data collection or program intervention.","gender:All,Min Age:18 Years,Max Age:N/A",No,102
NCT04390178,"Active, not recruiting","April 10, 2020",December 2020,COVID-19,"N/A,Single Group Assignment,An open, non-randomised controlled, clinical trial,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:80 Years",No,10
NCT04375176,Recruiting,"April 27, 2020","October 31, 2020","COVID-19,Severe Acute Respiratory Syndrome Coronavirus 2,Immunomodulation","Case-Only,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,150
NCT04551898,Not yet recruiting,"October 30, 2020","February 28, 2021",Covid19,"Randomized,Parallel Assignment,Treatment,Double (Participant, Investigator)","gender:All,Min Age:18 Years,Max Age:65 Years",No,180
NCT04355624,Recruiting,"April 15, 2020","July 30, 2020","COVID,Kidney Injury","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,80
NCT04338932,Completed,"April 17, 2020","May 15, 2020","COVID-19,Deep Vein Thrombosis (DVT)/Thrombophlebitis","Cohort,Retrospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,12
NCT04535700,Not yet recruiting,"September 7, 2020","April 10, 2021",Type 2 Diabetes,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,76
NCT04365309,Enrolling by invitation,"February 10, 2020",June 2020,"Novel Coronavirus Pneumonia,Aspirin,Treatment","Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:85 Years",No,128
NCT04425629,Recruiting,"June 16, 2020","December 19, 2020",COVID-19,"Randomized,Parallel Assignment,Phase 1/Phase 2/Phase 3,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,2104
NCT04561193,Recruiting,"May 30, 2020",May 2021,COVID-19,"Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04389580,Not yet recruiting,June 2020,September 2020,COVID-19,"Randomized,Sequential Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:70 Years",No,160
NCT04433988,Not yet recruiting,"December 13, 2020","December 30, 2020",COVID,"Randomized,Parallel Assignment,Treatment,Triple (Participant, Care Provider, Investigator)","gender:All,Min Age:18 Years,Max Age:60 Years",No,200
NCT04497415,Not yet recruiting,"August 30, 2020","January 30, 2021","Brief Video-based Intervention,Non Intervention Control","Randomized,Parallel Assignment,Health Services Research,Single (Participant)","gender:All,Min Age:18 Years,Max Age:80 Years",No,1200
NCT04412772,Recruiting,"June 1, 2020","December 31, 2021",COVID-19,"Randomized,Parallel Assignment,Treatment,Double (Participant, Investigator)","gender:All,Min Age:18 Years,Max Age:95 Years",No,300
NCT04405271,Not yet recruiting,"July 31, 2020","November 15, 2020","Healthcare Workers,COVID-19,SARS-CoV 2","Randomized,Parallel Assignment,Randomized (1:1), double-blind, placebo-controlled clinical trial,Prevention,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor),The treatment will be the same in both arms: 1 tablet per day will be administered for a total of 12 weeks. Placebo and the active principle will be indistinguishable.","gender:All,Min Age:18 Years,Max Age:N/A",No,1378
NCT04331808,"Active, not recruiting","March 30, 2020","December 31, 2021",Corona Virus Infection,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,228
NCT04363216,Not yet recruiting,May 2020,May 2021,COVID-19,"Randomized,Sequential Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,66
NCT04385160,Recruiting,"May 13, 2020","September 1, 2020","Myeloproliferative Neoplasm,COVID","Cohort,Other","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,80
NCT04415359,Recruiting,"May 20, 2020",July 2020,Covid-19,"Case-Only,Other","sampling_method:Non-Probability Sample,gender:Female,Min Age:18 Years,Max Age:43 Years",No,700
NCT04420312,Completed,"March 1, 2020","April 20, 2020","Pulmonary Embolism,Covid-19","Case-Control,Retrospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,1024
NCT04365166,Recruiting,"April 21, 2020","April 21, 2022","Respiratory Tract Infections,Respiratory Tract Disease","Case-Only,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,100
NCT04270383,Not yet recruiting,"February 15, 2020","December 31, 2020",2019-nCoV,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:18 Years",No,500
NCT04514003,Recruiting,"July 1, 2020","December 31, 2035",Covid19,"Case-Control,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:85 Years",No,5000
NCT04385810,Recruiting,"April 27, 2020",October 2020,"Covid19,Sars-CoV2","N/A,Single Group Assignment,Prevention,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,100
NCT04394000,Completed,"May 4, 2020","May 15, 2020","COVID19,Thromboembolism","Cohort,Other","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,72
NCT04558463,Recruiting,"April 16, 2020","October 30, 2020",Covid19,"Randomized,Parallel Assignment,Subjects will be divided into two groups: favipiravir and oseltamivir as adjuvant therapy in addition to standard therapy,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:75 Years",No,100
NCT04383717,Not yet recruiting,"May 5, 2020","October 30, 2020",Respiratory Tract Infections,"Randomized,Parallel Assignment,Treatment,Triple (Participant, Care Provider, Investigator)","gender:All,Min Age:6 Years,Max Age:90 Years",No,60
NCT04357977,Not yet recruiting,April 2020,December 2020,"Coronavirus,COVID","Ecologic or Community,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,300
NCT04524520,Recruiting,"May 5, 2020","May 8, 2022",Exploring Risk Assessment and Recovery From COVID-19 Infection in Hospitalised Patients,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,30
NCT04529408,Recruiting,"August 26, 2020","August 26, 2020","Covid19,Pulmonary Disease","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,60
NCT04368923,"Active, not recruiting","March 15, 2020","June 23, 2020",Covid 19,"Randomized,Parallel Assignment,Treatment,Single (Outcomes Assessor)","gender:All,Min Age:21 Years,Max Age:40 Years",No,60
NCT04558749,Not yet recruiting,October 2020,June 2021,Covid19,"Other,Cross-Sectional","sampling_method:Probability Sample,gender:Female,Min Age:N/A,Max Age:N/A",No,150
NCT04370938,Recruiting,"April 29, 2020","October 29, 2020","Perceived Organizational Support, Anxiety, Burnout","Randomized,Parallel Assignment,A longitudinal survey-based research study investigating the domains of perceived organizational support, anxiety, and burnout will take place. Healthcare providers with patient-care contact will be asked to fill out these surveys once every 30 days over a period of 6 months. After the first survey is complete, 20% of participants will be randomized to watch a 1-hour long video discussing coping strategies for stress related to the COVID-19 pandemic.,Other,Single (Outcomes Assessor),Individuals responsible for analyzing survey data (including that which was administered after the intervention), will be masked with regard to whether the participant received the intervention.","gender:All,Min Age:18 Years,Max Age:N/A",No,250
NCT04503057,Recruiting,"May 1, 2020","May 1, 2024","Covid19,ARDS, Human,ALI","Case-Control,Prospective","sampling_method:Probability Sample,gender:All,Min Age:16 Years,Max Age:90 Years",No,300
NCT04507282,Completed,"May 15, 2020","July 15, 2020",COVID-19,"Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,80
NCT04341922,"Active, not recruiting","May 9, 2020","September 10, 2021",Dysfunctional Worry,"Randomized,Crossover Assignment,Treatment,None (Open Label)","gender:All,Min Age:16 Years,Max Age:N/A",No,670
NCT04519424,Not yet recruiting,September 2020,May 2021,Coronavirus Disease 2019 (COVID-19),"Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,124
NCT04351581,Recruiting,"May 18, 2020",December 2020,Covid-19,"Randomized,Parallel Assignment,Treatment,Single (Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,215
NCT04347915,Recruiting,"May 6, 2020","December 31, 2020",COVID-19,"Randomized,Parallel Assignment,Treatment,Single (Participant)","gender:All,Min Age:19 Years,Max Age:N/A",No,60
NCT04401423,Recruiting,August 2020,December 2021,COVID-19,"Randomized,Parallel Assignment,Double-blinded, placebo-control, randomized clinical trial,Treatment,Triple (Participant, Care Provider, Investigator)","gender:All,Min Age:18 Years,Max Age:N/A",No,100
NCT04522128,Recruiting,"May 22, 2020","December 31, 2022","COVID,Quality of Life,Behavior,Social Isolation","Randomized,Parallel Assignment,Other,Double (Participant, Investigator)","gender:All,Min Age:18 Years,Max Age:N/A",No,969
NCT04342182,Recruiting,"April 8, 2020","July 1, 2020",COVID-19,"Randomized,Parallel Assignment,This trial is a randomized comparative trial. Patients will be randomized between the infusion of 300mL of convP versus the standard of care.,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,426
NCT04359901,Recruiting,"April 10, 2020",April 2023,COVID,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,120
NCT04381858,Recruiting,"May 6, 2020","September 30, 2020",COVID-19 Pneumonia,"Randomized,Parallel Assignment,Treatment,Double (Participant, Outcomes Assessor)","gender:All,Min Age:16 Years,Max Age:90 Years",No,500
NCT04330495,Not yet recruiting,"April 6, 2020","November 6, 2020","COVID 19,Immunomediated Inflammatory Disease in Treatment With Biological Agents and / or Jak Inhibitors","Randomized,Parallel Assignment,Randomized, controlled, double-blind clinical trial,Prevention,Double (Participant, Investigator)","gender:All,Min Age:18 Years,Max Age:75 Years",No,800
NCT04375397,Recruiting,"June 6, 2020","April 16, 2021",CoronaVirus Induced Disease-2019 (COVID-19),"Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,46
NCT04441385,Recruiting,"June 26, 2020","December 20, 2020",COVID-19,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04499300,Recruiting,"June 9, 2020",December 2020,Covid19,"Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:90 Years,Max Age:N/A",No,50
NCT04491214,Recruiting,"July 24, 2020","July 27, 2021","Covid19,Follow up,Rehabilitation","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,131
NCT04363268,Recruiting,"April 20, 2020","October 1, 2031","Coronavirus,COVID,COVID-19,COVID19,Corona Virus Infection,Coronavirus Infection","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,1000000
NCT04568707,Not yet recruiting,"October 15, 2020","October 15, 2022","Covid19,Neurologic Manifestations,Psychiatric Manifestations","N/A,Single Group Assignment,Basic Science,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04535674,Not yet recruiting,September 2020,May 2021,"COVID-19 Induced Pneumonia,Covid19","Randomized,Parallel Assignment,Asunercept/APG101 will be tested in three parallel intervention arms and compared with Standard of Care (SoC). The study will compare treatment efficacy of SoC to that of weekly intravenous infusions of Asunercept at three different doses. Patients will be randomised into four groups.,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,400
NCT04379089,Recruiting,"April 29, 2020","December 31, 2022","COVID,Neurologic Manifestations","Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:N/A,Max Age:17 Years",No,500
NCT04514302,Not yet recruiting,"October 20, 2020","June 20, 2021",COVID-19,"Randomized,Parallel Assignment,Parallel,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor),Double Blind","gender:All,Min Age:18 Years,Max Age:N/A",No,51
NCT04563247,"Active, not recruiting","July 1, 2020","October 30, 2020",Covid19,"Cohort,Retrospective","sampling_method:Probability Sample,gender:All,Min Age:20 Years,Max Age:60 Years",No,700
NCT04452942,Not yet recruiting,July 2020,April 2021,COVID-19,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,30
NCT04292730,Completed,"March 15, 2020","June 26, 2020",COVID-19,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:12 Years,Max Age:N/A",Yes,1113
NCT04397705,Not yet recruiting,June 2020,October 2020,"COVID,Oncology,Haematological Malignancy","N/A,Single Group Assignment,Single arm open label study.,Other,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,30
NCT04497324,Not yet recruiting,"August 20, 2020","December 31, 2020",COVID-19,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,100
NCT04361903,Not yet recruiting,"April 25, 2020","May 31, 2020",Severe Acute Respiratory Syndrome Coronavirus 2,"Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,13
NCT04516668,Not yet recruiting,November 2020,November 2020,Post Partum Depression,"Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,250
NCT04395664,Completed,"April 16, 2020","September 1, 2020",COVID-19,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,1000
NCT04366024,Recruiting,"January 17, 2020","December 31, 2021","COVID-19 Disease,Nomogram Model","Case-Only,Retrospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,1000
NCT04372199,Recruiting,"April 29, 2020","May 27, 2020","COVID,Pneumonia","Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,248
NCT04425252,Recruiting,"June 25, 2020",April 2021,COVID-19,"Randomized,Parallel Assignment,Randomized 1:2 to standard of care (SOC) alone or SOC + brequinar,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",N/A,24
NCT04414657,Recruiting,"April 9, 2020","April 30, 2022",COVID19,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,500
NCT04397822,Recruiting,"April 16, 2020",April 2021,COVID-19,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,60
NCT04423289,Completed,"March 31, 2020","May 18, 2020",Face-to-face Reconsultation to Emergency Room,"Randomized,Parallel Assignment,Supportive Care,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,150
NCT04427631,Not yet recruiting,"June 22, 2020","June 1, 2021","Hearing Impaired Children,Glue Ear,Hearing Loss, Conductive","N/A,Single Group Assignment,single arm study offering all children with glue ear currently waiting on grommet operation lists, an invitation to be involved in this research study for hearing support (bone conduction headphones, a microphone and an app which can be delivered remotely),Treatment,None (Open Label),It is too difficult to blind the assessor in thsi instance.","gender:All,Min Age:3 Years,Max Age:11 Years",No,20
NCT04352582,Recruiting,"April 14, 2020","April 30, 2020",COVID-19,"Other,Prospective","sampling_method:Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,1000
NCT04476992,"Active, not recruiting","July 24, 2020","September 17, 2021","Hypoxemia,Pneumonia, Viral,Coronavirus Infection","Randomized,Parallel Assignment,Treatment,Single (Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,20
NCT04505709,Enrolling by invitation,"August 1, 2020","August 1, 2021",Covid19,"Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Months,Max Age:N/A",No,1000
NCT04543760,Recruiting,"October 1, 2020",May 2021,Covid19,"Randomized,Crossover Assignment,Other,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,18
NCT04397237,Not yet recruiting,May 2020,December 2020,"COVID-19,Systemic Lupus Erythematosus,Sjogren's Syndrome,Axial Spondyloarthritis,Rheumatoid Arthritis,Giant Cell Arteritis","Case-Control,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,3600
NCT04394793,"Active, not recruiting","June 13, 2020",September 2020,"COVID-19,Pneumonia","N/A,Single Group Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,10
NCT04388709,Not yet recruiting,September 2020,May 2021,SARS-CoV-2,"Randomized,Parallel Assignment,Cohort A: Peginterferon lambda-1a (Lambda) 180mcg subcutaneous injection once Cohort B: Best supportive care,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,66
NCT04292327,"Active, not recruiting","January 1, 2020","July 31, 2020",Pneumonia Caused by Human Coronavirus,"Other,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:75 Years",No,400
NCT04470999,Recruiting,"April 15, 2020","December 31, 2020","Covid19,SARS-CoV-2","N/A,Single Group Assignment,Basic Science,None (Open Label)","gender:All,Min Age:18 Years,Max Age:60 Years",No,25
NCT04522817,Not yet recruiting,October 2020,May 2021,Covid-19,"N/A,Single Group Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,12
NCT04361461,Withdrawn,"April 30, 2020","November 4, 2020","Coronavirus Infections,SARS-CoV 2,SARS (Severe Acute Respiratory Syndrome),Pulmonary Disease","Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,0
NCT04368988,Recruiting,"May 25, 2020","November 18, 2021",COVID-19,"Randomized,Parallel Assignment,Prevention,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:84 Years",No,1631
NCT04345536,Recruiting,"March 15, 2020","May 1, 2021",COVID-19,"Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,400
NCT04280913,Withdrawn,"February 22, 2020","March 31, 2020",Coronavirus Disease 2019,"Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,0
NCT04392219,Completed,"April 10, 2020","August 11, 2020",Coronavirus,"Randomized,Parallel Assignment,Treatment,Double (Participant, Investigator)","gender:All,Min Age:18 Years,Max Age:60 Years",No,130
NCT04357639,Recruiting,"May 28, 2020","July 31, 2021",HIV Patients,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,1040
NCT04414371,Recruiting,"May 20, 2020","December 31, 2020","Stress,Anxiety,Depression,Resilience,Wellbeing,Mood","Randomized,Crossover Assignment,Randomized waitlist control cross over,Supportive Care,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,200
